,27.5,29.135,30.868,32.703,34.648,36.708,38.891,41.203,43.654,46.249,48.999,51.913,55.0,58.27,61.735,65.406,69.296,73.416,77.782,82.407,87.307,92.499,97.999,103.826,110.0,116.541,123.471,130.813,138.591,146.832,155.563,164.814,174.614,184.997,195.998,207.652,220.0,233.082,246.942,261.626,277.183,293.665,311.127,329.628,349.228,369.994,391.995,415.305,440.0,466.164,493.883,523.251,554.365,587.33,622.254,659.255,698.456,739.989,783.991,830.609,880.0,932.328,987.767,1046.502,1108.731,1174.659,1244.508,1318.51,1396.913,1479.978,1567.982,1661.219,1760.0,1864.655,1975.533,2093.005,2217.461,2349.318,2489.016,2637.02,2793.826,2959.955,3135.963,3322.438,3520.0,3729.31,3951.066,4186.009
ESR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASR,-119.8646110782281,-120.32741859329441,-120.6081883726166,-120.2791812547639,-120.43392079947324,-120.28933467531182,-119.87087853228284,-119.95882059418884,-120.65896619477422,-121.35336722291169,-120.38990562357883,-121.78445243445339,-124.72027257321704,-122.07445610894105,-123.13463441020899,-124.32945722860478,-124.84440853140754,-124.3800166830511,-125.21172465810521,-124.55658691279854,-125.01877178162577,-127.12863305011223,-127.76374307211789,-126.78128546683729,-128.4420897861565,-128.5899592966547,-128.98854759919655,-129.1997200040633,-129.94860978114153,-130.04361521970728,-130.42058410697484,-130.50398560430193,-130.54995941743758,-130.88107892261925,-131.30510757933942,-130.92025772962376,-130.89893139437504,-131.51467710679992,-131.0214160926154,-131.28722386237328,-131.33520476512757,-131.6414655355949,-131.61663642097412,-131.68346948267822,-131.75414196631,-131.7894992595047,-131.59170407380822,-131.5120933174598,-132.5441398198233,-131.58558047983595,-131.5965233761674,-131.76001576601746,-131.4023374448173,-131.71218246195608,-131.43262077372114,-131.56860151619287,-131.9712785561207,-131.57990416836282,-129.88002607053625,-131.39429983843397,-132.76911319183677,-131.95455526545823,-131.98813822927804,-131.73733059437689,-131.39955973939732,-131.33788604200737,-131.6486832602567,-131.53814929030253,-132.46189837097444,-132.10259655513954,-132.37443681345704,-132.73348144759265,-133.21431286096936,-133.50301117877007,-133.39445523811852,-133.6283594240864,-133.78083887401638,-133.7286852764231,-130.47539814513456,-123.61960851590804,-122.18202232111643,-115.90292882869134,-114.41247078165458,-101.74726361129419,-100.2618940578072,-97.80772437719166,-90.01935554224998,-88.85559460008315
MESR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMR,-65.05348626743454,-64.91364820388901,-65.12944379424958,-65.23439947932147,-65.40266477191346,-65.65229972926012,-65.79665104993187,-66.02268665241394,-66.13086367635118,-66.57146561367807,-66.79886908635733,-67.24611437193235,-67.88670006810312,-68.07567186488689,-68.35092450194867,-68.53746601236647,-69.06958403558366,-69.13849245090505,-69.78075916171574,-70.16457923594157,-70.43042351176089,-70.80649369631796,-70.98255763545869,-71.41001333291507,-71.84772306122865,-71.68080509219925,-71.92568965631229,-71.81793252091191,-72.08044183049199,-72.25953586534393,-72.22454539059085,-72.39085892011913,-72.51165789798344,-72.4096664115082,-72.63418164321129,-72.64981303803727,-73.11959210402898,-72.81267673896294,-72.78623319306213,-72.83986699556162,-72.76124770465526,-72.78688689971726,-72.81000896408614,-73.03952244951455,-72.92968611191645,-72.84198401659143,-72.98816402185946,-73.18919445173482,-73.40334201067452,-73.04284214987892,-73.05107621006853,-73.2759164529011,-73.29088880514396,-73.55113775538452,-73.7015996535021,-73.67081245936492,-74.26138460957907,-74.57653226919174,-74.91987440592018,-75.41485414464485,-75.42374495375101,-76.3170184843026,-76.0679469781273,-76.92009874528797,-77.76060499639766,-77.87820993828647,-78.5903056014665,-79.79653547943454,-79.76369648165755,-80.79352263864754,-81.3447306315002,-83.09329664693917,-83.47373859424572,-84.39651838918093,-85.20957349768523,-86.26225702636421,-86.77737916275738,-86.79679564459818,-86.83276062174228,-86.74171116073994,-86.0899239883853,-84.70951114138224,-83.95928221195761,-80.14625778859099,-77.7839821941857,-74.43890728251677,-69.03183729558418,-67.37510986834845
SNR-audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
