,27.5,29.135,30.868,32.703,34.648,36.708,38.891,41.203,43.654,46.249,48.999,51.913,55.0,58.27,61.735,65.406,69.296,73.416,77.782,82.407,87.307,92.499,97.999,103.826,110.0,116.541,123.471,130.813,138.591,146.832,155.563
ESR,-102.88720474552737,-102.89885461708803,-102.67147452799068,-102.49356886998368,-102.46580546397122,-102.36231701988422,-102.01131960805095,-101.78978373732453,-101.6115452499826,-101.2811266337457,-99.6734672999269,-101.022668840067,-101.01606011968143,-100.88129764373774,-100.95411541835438,-101.04895150309521,-101.44319471084063,-102.02983279633742,-103.02844403659196,-103.90734032449554,-104.86621994122723,-105.9210045684098,-106.44600188220159,-108.00123054279493,-109.10386108669451,-109.91639662493156,-110.8475425679243,-111.59667772129566,-112.42257270456533,-112.97081034184916,-113.61783331682457
ASR,-124.08733849991908,-103.0521054500017,-149.6732982414709,-113.12024332780982,-107.60522481151614,-113.3902531438704,-124.2959523567826,-102.83758906649408,-106.16300853602218,-112.73946760330492,-111.18307473341365,-104.59032320147878,-103.51781896007564,-107.3442480639035,-101.36069038215953,-118.77376125212184,-113.98521143777158,-124.00802291572658,-103.05890251258964,-103.08678012746195,-123.34256166791438,-107.68823280791992,-122.11461478370856,-108.56198259166864,-113.30664205968941,-115.07476292684595,-120.85407739947595,-120.4945123460806,-145.61924926247224,-120.73576762493514,-119.88864771921291
MESR,-110.29624553796445,-110.53685931490942,-110.14297407257688,-110.08898771412596,-109.77890207037305,-109.49677782740962,-109.73712314196871,-109.36733936050874,-109.69700669231992,-109.4038423786512,-103.74064288923685,-108.72826783542278,-109.59227297397926,-109.40004565229765,-109.54956555421192,-110.12024680733577,-110.76328903476663,-111.99054417998249,-112.94937006417237,-114.60024880764789,-115.56727150755654,-117.38699935534486,-114.14708102001585,-119.9155103366856,-121.53395959034629,-123.64006526064142,-123.65265542236968,-125.45236482698881,-126.8230328206012,-128.81352497957928,-128.63822712701906
NMR,-116.73894274310092,-116.74770889691914,-116.75616790505626,-116.76439246257944,-116.77197400024204,-116.77884145510617,-116.78552422654731,-116.79178343101859,-116.79792185710403,-116.80467645309783,-116.81312172660668,-116.82131865881064,-116.82948090520364,-116.83773385123354,-116.84587041961272,-116.85583430744234,-116.87042893796458,-116.88949563419713,-116.91216183837261,-116.93623536900374,-116.96125868735126,-116.9872673728058,-117.01434700382514,-117.04277358299095,-117.07153787706199,-117.1019080137516,-117.13565851988628,-117.17046999296048,-117.20616358991138,-117.24713548267133,-117.28769700859233
SNR-audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
