,27.5,29.135,30.868,32.703,34.648,36.708,38.891,41.203,43.654,46.249,48.999,51.913,55.0,58.27,61.735,65.406,69.296,73.416,77.782,82.407,87.307,92.499,97.999,103.826,110.0,116.541,123.471,130.813,138.591,146.832,155.563,164.814,174.614,184.997,195.998,207.652,220.0,233.082,246.942,261.626,277.183,293.665,311.127,329.628,349.228,369.994,391.995,415.305,440.0,466.164,493.883,523.251,554.365,587.33,622.254,659.255,698.456,739.989,783.991,830.609,880.0,932.328,987.767,1046.502,1108.731,1174.659,1244.508,1318.51,1396.913,1479.978,1567.982,1661.219,1760.0,1864.655,1975.533,2093.005,2217.461,2349.318,2489.016,2637.02,2793.826,2959.955,3135.963,3322.438,3520.0,3729.31,3951.066,4186.009
ESR,-123.63312355419737,-124.05011405502619,-126.31959386592644,-127.82155319199653,-129.09025848406932,-129.14906451044425,-117.99734934409207,-129.83812430007558,-128.9444994453506,-130.39021540288593,-113.93779281172485,-131.3018204473106,-126.91547401445203,-128.9306941826696,-129.61786685939165,-129.4296033286377,-128.95898256054096,-127.51366106115458,-127.80228946372988,-129.52221708118526,-128.52959758030622,-128.17362530558566,-123.90755174726631,-127.13893931078253,-127.9550481096034,-126.51409901046088,-126.05706316570189,-125.40647177031474,-124.15692717168167,-123.29217489504951,-121.77683982109069,-120.58542174415982,-118.89043917540198,-117.35337913380151,-115.66681271694391,-114.1718851921192,-112.78584433408217,-111.39186878198339,-110.2033882561598,-109.16144272439567,-108.33255841269691,-107.6650545424216,-107.18085793519604,-106.4594011163466,-105.02906931854301,-102.558290349025,-99.17718254195637,-95.02049385041187,-89.98991503943265,-85.9972998163656,-80.71682183663268,-75.42402195638265,-73.15998544277943,-68.5100760072592,-63.107838157624975,-59.106237940995044,-57.098471807625224,-55.09910521352269,-50.806394615995174,-45.90288389518826,-43.43263203656444,-43.04332195184204,-44.28496008192727,-42.19385539617647,-38.373067649429196,-35.99072715098918,-33.88493158139134,-32.56372968082137,-31.62450928196813,-29.91153346787982,-27.512134676066687,-26.54732099450841,-26.858584311594914,-25.760125196604225,-25.120627171076652,-24.68023351348012,-25.198711018922676,-27.15157380536183,-26.396510935031028,-26.18413393556569,-25.134299502101204,-26.458851134605688,-27.240283723392615,-26.919092689102282,-26.540950185554205,-24.03574867937004,-21.546081076329372,-18.290421052054942
ASR,-109.56526485253413,-115.92870848537696,-112.15722734776301,-107.6793149930214,-106.38799775978576,-107.65288105150007,-119.6087877225905,-118.72737737307641,-113.17900147184994,-120.91105081427199,-119.90829942900656,-119.93560223329183,-114.93197622894343,-122.79455438657398,-111.30947567819852,-107.53820567670682,-121.63874448655167,-107.74630104928441,-111.0813506645805,-112.18516621712216,-130.2323589849066,-111.05945780111152,-131.71832633517144,-111.01322839143909,-132.75130443682397,-111.55129415749657,-107.65120923466648,-107.61635657047216,-113.06491474023358,-107.5923807705543,-108.22898110692098,-107.62343713223453,-114.23851009557845,-114.98161832747618,-124.81996502247173,-112.72067680606656,-125.19442352021643,-113.68915276879814,-109.28100790861066,-110.05164784924654,-111.1296383531308,-113.8225116291239,-111.46069372379601,-109.93247562436378,-111.7717239765958,-117.98456835016242,-117.70302734294557,-114.79257821710915,-117.48740307920946,-107.53480801763155,-111.50647438408558,-112.27621500053311,-114.6886769807366,-115.03191563357026,-107.25326632862777,-104.8863868574565,-98.79579147140284,-93.15601062984747,-86.34979402511722,-77.19426748966255,-72.72751410282119,-67.37932978781147,-64.11022862593883,-62.75307426230277,-53.31454490650913,-47.98534917087113,-43.900850043826416,-41.950243163327066,-38.070899776384444,-37.82982717523741,-38.675416137663376,-33.94799375307072,-35.14638207443472,-30.080163706278878,-30.899182339020538,-30.556189536992967,-28.42341471814308,-30.398299777020984,-28.789267727489555,-29.954162866243262,-28.26527891495727,-29.132193724402878,-30.58201447036493,-28.627208366148118,-27.766278564960082,-25.07822233367945,-24.500522062442553,-25.13708961272538
MESR,-124.92071403601415,-125.8731331704537,-127.7703736236001,-128.88463954153912,-130.61186260850815,-130.04131275945073,-118.10138098289542,-132.2980260393671,-130.0214755671527,-131.44272900299575,-113.95005771886436,-133.6312316199014,-130.1382633107527,-133.27136484977845,-134.97583532119495,-134.73206539312412,-135.6044123545447,-135.17655322133308,-137.04188126757603,-137.0253492735519,-136.34672864534915,-136.39597645672606,-125.3363613516534,-134.02167542644122,-134.25987517658828,-132.28938568558277,-131.32429968707584,-130.37980010018097,-128.67166724509383,-127.50152686993749,-126.20905878428579,-124.26651983352987,-122.14131928667116,-120.70737943580266,-119.03769348021471,-117.57834809327962,-116.43893938926338,-115.03118331761962,-113.52291257967106,-112.7432375377867,-112.21775812988564,-111.70493986202538,-111.18340206927654,-110.48724449986345,-108.93163528825539,-106.30893770609624,-102.92576173471713,-98.80487765837955,-93.19178756576703,-90.12928989937146,-84.3833369309322,-78.85355699500211,-76.65548958930354,-72.42404991261743,-66.76380051163804,-62.84468340973229,-62.40094087748668,-58.57646356795969,-53.28171188508246,-49.13351078402496,-50.305221405849146,-48.070372034578774,-47.07430570228922,-44.959072889589365,-42.08056162534302,-40.9482693630156,-39.02308358183621,-36.89555176838308,-35.07846290925418,-34.745731085993874,-33.85138328870557,-32.50243444368407,-31.725157460385244,-29.305335030783464,-30.16739346379486,-29.59020395358318,-28.448890757364936,-31.24711933688808,-30.239674990777694,-31.189685462394934,-28.26295322822611,-30.3998487238135,-30.95435970364847,-29.981992574535987,-29.679741493186295,-25.984780141573925,-27.766827667385193,-25.307420086186696
NMR,-116.99170215608534,-117.02195365108564,-117.05749610453415,-117.0974316386181,-117.13435150158922,-117.16540692137407,-117.19140129511061,-117.20832022868727,-117.22278259671603,-117.23184873255148,-117.24660751623449,-117.26688513442802,-117.2956882630941,-117.3359374051955,-117.3799764519842,-117.42543357797167,-117.46993001963511,-117.51246766967529,-117.5497398615179,-117.58290870513088,-117.61423142272955,-117.64796315633524,-117.6785003160359,-117.72034052483247,-117.76224509761687,-117.81196318055501,-117.86856244350119,-117.92701809109116,-117.99308172451512,-118.06138597698387,-118.12364132366291,-118.2057696220747,-118.26205435674655,-118.35745329625381,-118.40460530661107,-118.49314885449616,-118.54854545328695,-118.6211441150764,-118.69884225468135,-118.76804827642844,-118.88379411156322,-118.9755793686512,-119.13002120730711,-119.28739604585016,-119.44314422787167,-119.66654314626467,-119.85681323994493,-120.19634083865526,-120.63411781340612,-121.2180738415352,-122.02746916134855,-121.6932867911499,-111.52519576384906,-99.82267455696552,-88.5971022774304,-78.52894350780888,-70.57624825355867,-62.91154861310795,-58.03557481153237,-56.053677026749085,-51.34863932531233,-47.21080632929009,-46.331285590528346,-44.49143929196814,-40.46568999606457,-31.755942430210254,-25.57182053822534,-21.918156333389348,-19.087503791983124,-24.116233796705497,-24.485811762072956,-9.855738348601546,-23.276895475691223,-5.739793169277566,-3.5690835917758674,-16.04898634619824,-5.352794868783962,-5.602858340403016,6.053710146860426,4.925473092193961,9.7131214650603,0.45636607968883297,0.7942031407799194,14.941558939988047,20.694097219690207,17.935074658413154,10.410690569847747,20.606865332809335
SNR-audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
